# -*- type: table -*-
ls  	        5e-10	   1.7555e-09	        3e-09
rs  	          0.5	       1.8512	          2.5
cp  	        1e-14	   6.9546e-14	        2e-13
cs  	        1e-14	   1.2005e-13	        2e-13
rac 	          0.5	       3.6504	            6
ldc 	        1e-11	  3.03167e-10	        5e-10
k1  	            0	     0.721467	            1
rsub	            1	      17.9638	           50
